,"Hondo-SEADYN Project:  Rack 005971, File HSL Stemtbl ",,,,,Data checked: 2003 Feb 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Square plots 5m x 5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,1983,,,,,,Fallen Stems,,,,,,,,1983,,,,,,,1983 Crown,,,,1983,1983,1991,2000,2000,,2000,,
,,,,DBH,1983 Base Coordinates (m),,,,Year,Length,Exit Coordinates (m),,,,Year,Uprooted,,Stem,       1983 Stem Lean,,       1991 Stem Lean,,       2000 Stem Lean,,Width (m),,Ht to crown,,BSD,Radial Inc.,DBH,DBH,Height,2000,Fire ,,Comment
Stand,Plot,Tag #,Species,(in),N,S,E,W,Dead,(m),N,S,E,W,Fallen,/ Broken,Age,Height (m),AmtChar,Direction,AmtNum,Direction,AmtNum,Direction,N-S,E-W,bottom (m),Fill%,(cm),(cm),(cm),(cm),(m),Code,Codes,Dummy,(year recorded)
3,1G,371,J,4,.,2.6,1.8,.,1981,.,.,.,.,.,.,.,.,13.8,S,SW,.,.,.,.,.,.,.,.,.,.,9.1,9.9,14.5,DS,.,X ,
3,1G,368,J,8.4,0.1,.,0.5,.,2000,.,.,.,.,.,.,.,.,22.6,S,S,.,.,.,.,2.9,2,16.6,40,.,.,21.8,21.8,22.2,DS,.,X ,
3,1G,369,J,9.7,1.5,.,2.5,.,.,.,.,.,.,.,.,.,.,25.8,O,Z,.,.,.,.,2.4,3.4,17.8,60,.,.,27.1,30.1,27,.,.,X ,
3,1H,365,J,6.6,.,1.6,2.3,.,1984,.,.,.,.,.,.,.,59,22.6,S,SE,.,.,.,.,2.1,2.4,16.8,30,.,.,17,16.9,21.8,DS,.,X ,
3,1H,366,J,8.2,.,1.7,.,1,.,.,.,.,.,.,.,.,.,23.2,O,Z,.,.,.,.,2.2,2.4,16.8,80,.,.,21.9,22.7,23.8,.,.,X ,
3,1H,367,J,8.8,0.1,.,.,1.8,.,.,.,.,.,.,.,.,74,24,O,Z,.,.,.,.,2.4,4.1,17,75,.,.,24,24.8,19.8,.,.,X ,broken top (2000)
3,1H,363,J,5.6,0.1,.,0.4,.,1981,.,.,.,.,.,.,.,.,16.6,O,Z,.,.,.,.,.,.,.,.,.,.,14.1,14.4,14.5,DB2,.,X ,
3,1H,364,J,2.8,2.1,.,1.1,.,1981,.,.,.,.,.,.,.,.,13.2,O,Z,.,.,.,.,.,.,.,.,.,.,9.8,10.4,.,DD,.,X ,Top Off (2000)
3,1I,360,J,6.3,.,0.3,2,.,.,.,.,.,.,.,.,.,.,20.6,S,N,.,.,.,.,1.6,1.8,15,85,.,.,16.7,17.6,19.2,.,.,X ,broken top (2000)
3,1I,359,J,8.3,.,1.3,0.8,.,.,.,.,.,.,.,.,.,.,25,M,E,.,.,.,.,4.5,3.5,17.8,45,.,.,21.6,21.6,19,.,.,X ,broken top (2000)
3,1I,362,J,10,0.2,.,.,0.7,.,.,.,.,.,.,.,.,.,25,O,Z,.,.,.,.,4.1,2.5,16.6,80,.,.,28.8,30.4,23,.,.,X ,broken top (2000)
3,1I,361,J,9.3,1.7,.,.,1.7,.,.,.,.,.,.,.,.,.,24.4,O,Z,.,.,.,.,4.1,3.4,17.2,60,.,.,25.7,26.8,19.7,.,.,X ,broken top (2000)
3,1J,358,J,2.7,.,0.2,2.4,.,1981,4.8,1,.,0.5,.,1981,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,
3,1J,357,J,5.3,.,0.4,.,0.6,1991,.,.,.,.,.,.,.,.,17.4,O,Z,.,.,.,.,1.8,3.5,14,40,.,.,13.4,13.1,15.7,DB2,.,X ,
3,1J,354,J,6,.,0.6,1,.,2000,.,.,.,.,.,.,.,.,21.6,O,Z,.,.,.,.,1.8,2.3,15.8,55,.,.,16,16.4,19,DB2,.,X ,broken top (2000)
3,1J,353,J,9.5,1,.,0.5,.,.,.,.,.,.,.,.,.,.,20.6,M,NE,.,.,.,.,3.3,3,14.4,50,.,.,24.5,24.3,20,.,.,X ,
3,1J,355,J,4.2,1.3,.,1.6,.,1981,10,.,.,1.9,.,.,.,.,11,S,NE,.,.,.,.,.,.,.,.,.,.,10,.,.,DD,.,X ,Top Off (2000)
3,1J,356,J,10.5,2,.,2.6,.,.,.,.,.,.,.,.,.,.,23.6,O,Z,.,.,.,.,4.9,5.1,15.2,80,.,.,29.4,31.5,22.9,.,.,X ,
3,2A,324,W,3.3,0.2,.,.,0.4,.,.,.,.,.,.,.,.,49,6.5,O,Z,.,.,.,.,2.7,3.2,1.5,60,.,.,10.6,14.9,10.5,.,.,X ,
3,2A,323,W,4.7,0.9,.,.,0.9,.,.,.,.,.,.,.,.,41,12.1,O,Z,.,.,.,.,3.9,3.8,1.7,75,.,26.8,16.3,23,15.8,.,.,X ,
3,2B,325,J,8.7,0.2,.,.,0.2,.,.,.,.,.,.,.,.,72,20.6,S,SE,.,.,.,.,3,3.2,7.2,40,.,.,24.4,25.7,25.4,.,.,X ,
3,2B,328,J,9.2,.,0.3,0.9,.,.,.,.,.,.,.,.,.,.,20.4,S,SW,.,.,.,.,4,3.7,16.8,70,.,.,24.6,25.9,21.3,.,.,X ,
3,2B,326,J,7.6,0.4,.,.,1.5,.,.,.,.,.,.,.,.,.,20.2,O,Z,.,.,.,.,1.5,1.7,9.4,30,.,.,19.7,19.9,24.5,.,.,X ,
3,2B,327,J,3.5,1.7,.,0.3,.,1981,9.9,.,1.6,.,0,1981,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,
3,2C,330,J,3.9,.,1.3,.,1.2,1981,12.2,.,0,.,0.5,1981,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,Had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,2C,333,J,8.4,0.3,.,1,.,2000,.,.,.,.,.,.,.,81,20,S,W,.,.,.,.,3,1.8,13.6,15,24.4,6.87,22,22,17.1,DB2,.,X ,Top Off (2000)
3,2C,334,J,4.8,0.4,.,.,1.6,1981,11.8,0,.,2.2,.,1984,B,.,14.2,M,SE,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,Had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,2C,332,J,7.1,1,.,0.5,.,1981,18.4,0.3,.,0,.,.,.,.,19.4,O,Z,.,.,.,.,.,.,.,.,.,.,17.2,.,.,DD,.,X ,Top Off (2000)
3,2C,329,J,9.5,1.5,.,.,1.1,.,.,.,.,.,.,.,.,73,26,S,E,.,.,15,S,3,2.8,13,60,27,2.64,26.9,26.6,22.7,LL,.,X ,
