original_code,strata,long_code,sci_name_original,sci_authority_original,common_name,accepted_name,sci_authority_accepted,comments,unified_code
MACA,F,MAIACAN,Maianthemum canadense,Desf.,wild lily-of-the-valley,Maianthemum canadense,Desf.,,MACA
MAMO,F,MALAMON,Malaxis monophyllos,(L.) Sw.,white adder's-mouth orchid,Malaxis brachypoda ,(A. Gray) Fernald,NA,MAMO
SMTR,F,SMILTRI,Smilacina trifolia,(L.) Desf.,three-leaved Solomon's-seal,Maianthemum trifolium,(L.) Sloboda,,MATR
MEAL,F,MELIALB,Melilotus alba,Desr.,white sweet-clover,Melilotus albus,Desr.,,MEAL
MELI,F,MELALIN,Melampyrum lineare,Desr.,cow-wheat,Melampyrum lineare,Desr.,,MELI
MEOF,F,MELIOFF,Melilotus officinalis,(L.) Lam.,yellow sweet-clover,Melilotus officinalis,(L.) Lam.,,MEOF
MEPA,F,MERTPAN,Mertensia paniculata,(Ait.) G. Don.,tall lungwort,Mertensia paniculata,(Aiton) G. Don.,,MEPA
METR,F,MENYTRI,Menyanthes trifoliata,L.,buck-bean,Menyanthes trifoliata,L.,,METR
MINT,F,MINTSP.,Unidentified mint,NA,NA,NA,NA,probably Dracocephalum parviflorum (the only species in the mind family found at these sites),MINT
MINU,F,MITENUD,Mitella nuda,L.,bishop's-cap,Mitella nuda,L.,,MINU
MOUN,F,MONEUNI,Moneses uniflora,(L.) A. Gray,one-flowered wintergreen,Moneses uniflora,(L.) A. Gray,,MOUN
MUGL,G,MUHLGLO,Muhlenbergia glomerata,(Willd.) Trin.,bog muhly,Muhlenbergia glomerata,(Willd.) Trin.,,MUGL
OBSN,NA,not species data - a number for the person taking the data ,,,,,,,OBSN
ORAS,G,ORYZASP,Oryzopsis asperifolia,Michx.,white-grained mountain rice grass,Oryzopsis asperifolia,Michx.,,ORAS
ORC1,F,ORCHID,Unidentified orchid,NA,NA,NA,NA,NA,ORC1
ORSE,F,ORTHSEC,Orthilia secunda,(L.) House,one-sided wintergreen,Orthilia secunda,(L.) House,,ORSE
OSCH,F,OSMOCHI,Osmorhiza chilensis,Hook. & Arn.,blunt-fruited sweet cicely,Osmorhiza depauperata,DC.,was identified as Osmorhiza chilensis in the early 1980s - not collected - may be Osmorhiza depauperata? (verified by George LaRoi),OSDE
SEIN,F,SENEIND,Senecio indecorus,Greene,rayless ragwort,Packera indecora,(Greene) A. Love & D. Love,"was called ""SENECIO"" in 2005 - not collected - possibly Senecio indecorus? (verified by George LaRoi)",PAIN
PEGR,F,,Pedicularis groenlandica,Retz.,elephantshead lousewort,Pedicularis groenlandica,Retz.,only in AOS plots,PEGR
PELA,F,,Pedicularis labradorica,Wirsing,Labrador lousewort,Pedicularis labradorica,Wirsing,only in AOS plots,PELA
PHFR,F,,Phacelia franklinii,R. Br.,Franklin's phacelia,Phacelia franklinii,R. Br.,only in AOS plots,PHFR
PAPA,F,PARNPAL,Parnassia palustris,L.,northern grass-of-parnassus,Parnassia palustris,L.,,PAPA
PEFR,F,PETAFRI,Petasites frigidus,(L.) var palmatus,NA,NA,NA,"var of Petasite palmatus, can merge with PEPA",PEFR
PEPA,F,PETAPAL,Petasites palmatus,(Ait.) A. Gray,palmate-leaved coltsfoot,Petasites frigidus var. palmatus,(Aiton) Cronquist,,PEFR
PESA,F,PETASAG,Petasites sagittatus,(Pursh) A. Gray,arrow-leaved coltsfoot,Petasites frigidus var. sagittatus,(Banks ex Pursh) Chem.,,PEFR
PIBA,T,PINUBAN,Pinus banksiana,Lamb.,jack pine,Pinus banksiana,Lamb.,,PIBA
PIGL,T,PICEGLA,Picea glauca,(Moench) Voss,white spruce,Picea glauca,(Moench) Voss,,PIGL
PIMA,T,PICEMAR,Picea mariana,(Mill.) BSP.,black spruce,Picea mariana,"(Mill.) Britton, Sterns & Poggenb. ",,PIMA
ORPU,G,ORYZPUN,Oryzopsis pungens,(Torr.) A.S. Hitchc.,northern rice grass,Piptatherum pungens,(Torr.) Dorn,,PIPU
HAHY,F,HABEHYP,Habenaria hyperborea,(L.) R.Br.,northern green bog orchid,Plantanthera hyperborea,(L.) Lindl.,,PLHY
POBA,T,POPUBAL,Populus balsamifera,L.,balsam poplar,Populus balsamifera,L.,,POBA
POPL,G,POA_PAL,Poa palustris,L.,fowl bluegrass,Poa palustris,L.,stand 7 & 8 in 2010 and 2015; Low cover,POPL
POT3,F,POTETRI,Potentilla tridentata,Ait.,three-toothed cinquefoil,Sibbaldiopsis tridentata,(Aiton) Rydb.,different code for same species POTETRI,SITR
POTR,T,POPUTRE,Populus tremuloides,Michx.,aspen,Populus tremuloides,Michx.,,POTR
POYE,F,POTESP.,Potentilla sp.,,,0,0,a ruderal Potentilla species - not collected - (verified by George LaRoi),POSP
PRPE,S,PRUNPEN,Prunus pensylvanica,L.f.,pin cherry,Prunus pensylvanica,L. f.,,PRPE
DITR,F,DISPTRA,Disporum trachycarpum,(S. Wats.) B. & H.,fairybells,Prosartes trachycarpa,S. Watson,,PRTR
PRVI,S,PRUNVIR,Prunus virginiana,L.,choke cherry,Prunus virginiana,L.,,PRVI
PYAS,F,PYROASA,Pyrola asarifolia,Michx.,common pink wintergreen,Pyrola asarifolia,Michx.,,PYAS
PYVI,F,,Pyrola virens,Schweigg & Korte,greenish-flowered wintergreen,Pyrola chlorantha,Sw.,,PYCH
PYCH,F,PYROCHL,Pyrola chlorantha,Sw.,greenish-flowered wintergreen,Pyrola chlorantha,Sw.,,PYCH
PYSE,F,,Pyrola secunda,L. ,,Orthilia secunda,(L.) House,,ORSE
LEGR,S,LEDUGRO,Ledum groenlandicum,Oeder,common Labrador tea,Rhododendron groenlandicum,(Oeder) Kron & Judd, ,RHGR
RACE,,,Ranunculus sp.,,,Ranunculus sp.,,,RASP
RASP,,,Ranunculus sp.,,,Ranunculus sp.,,,RASP
RHMI,F,RHINMIN,Rhinanthus minor,L.,little yellow rattle,Rhinanthus minor,L.,weedy,RHMI
RIGL,S,RIBEGLA,Ribes glandulosum,Grauer,skunk currant,Ribes glandulosum,Grauer,,RIGL
RIHU,S,RIBEHUD,Ribes hudsonianum,Richardson,northern black currant,Ribes hudsonianum,Richardson,NA,RIHU
RILA,S,RIBELAC,Ribes lacustre,(Pers.) Poir.,bristly black currant,Ribes lacustre,(Pers.) Poir.,,RILA
RIOX,S,RIBEOXY,Ribes oxyacanthoides,L.,Canadian gooseberry,Ribes oxyacanthoides,L.,NA,RIOX
RITR,S,RIBETRI,Ribes triste,Pall.,wild red currant,Ribes triste,Pall.,,RITR
ROAC,S,ROSAACI,Rosa acicularis,Lindl.,prickly rose,Rosa acicularis,Lindl.,,ROAC
RUAR,F,RUBUARC,Rubus arcticus,L.,dwarf raspberry,Rubus arcticus,L.,,RUAR
ROWO,S,ROSAWOO,Rosa woodsii,Lindl.,common wild rose,Rosa woodsii,Lindl.,,ROWO
RUAC,F,RUBUARC,Rubus aucalis,Michx.,dwarf raspberry,Rubus arcticus,L.,,RUAR
RUCH,F,RUBUCHA,Rubus chamaemorus,L.,cloudberry,Rubus chamaemorus,L.,,RUCH
RUID,S,RUBUIDA,Rubus idaeus,L.,wild red raspberry,Rubus idaeus,L.,,RUID
RUOC,F,RUMEOCC,Rumex occidentalis,S. Wats.,western dock,Rumex aquaticus,L. ,weedy,RUOC
RUPU,F,RUBUPUB,Rubus pubescens,Raf.,dewberry,Rubus pubescens,Raf.,,RUPU
RUSP,F,UNKNORU,,NA,NA,NA,NA,unknown Rubus or Rumex sp. There is one sighting in 2001 stand 6,RUSP
RUST,F,,Rubus strigosus,Michx.,red raspberry,Rubus sachalinensis,H. LŽv.,only in AOS plots,RUSA
SAAR,S,SALIARB,Salix arbusculoides,Anderss.,shrubby willow,Salix arbusculoides,Andersson,,SAAR
SABE,S,SALIBEB,Salix bebbiana,Sarg.,beaked willow,Salix bebbiana,Sarg.,"identified by Derek Johnson - called ""SX-YEBR"" on 2005 fieldsheet",SABE
SACA,S,SALICAN,Salix candida,Fluegge ex Willd.,hoary willow,Salix candida,Fluegge ex Willd.,,SACA
SADI,S,SALIXDIS,Salix discolor,Muhl.,pussy willow,Salix discolor,Muhl.,NA,SADI
SALIX,S,SALIXSP.,Salix sp.,NA,,Salix sp.,NA,"unidentified Salix, same as SASP",SALIX
SALU,NA,SALIXSPU,Salix sp.,NA,,Salix sp.,NA,"likely Salix lucida but can't confirm, could be Salix lutea",SALU
SAMA,S,SALIMAC,Salix maccalliana,Rowlee,McCalla's willow,Salix maccalliana,Rowlee,NA,SAMA
SAMY,S,SALIMYR,Salix myrtillifolia,Anderss.,myrtle-leaved willow,Salix myrtillifolia,Andersson,,SAMY
SAPE,S,SALIPED,Salix pedicellaris,Pursh,bog willow,Salix pedicellaris,Pursh,,SAPE
SAPL,S,SALIPLA,Salix planifolia,Pursh,diamondleaf willow,Salix planifolia,Pursh,NA,SAPL
SAPS,S,SALIPSE,Salix pseudomonticola,Ball,false mountain willow,Salix pseudomonticola,C. R. Ball,,SAPS
SAPY,S,SALIPYR,Salix pyrifolia,Anderss.,balsam willow,Salix pyrifolia,Anderss.,NA,SAPY
SASC,S,,Salix scouleriana,Barratt ex. Hook,Scouler's willow,Salix scouleriana,Barratt ex. Hook,only in AOS plots,SASC
SASP,S,SALIXSP.,Salix sp.,NA,,Salix sp.,NA,unidentified Salix - same as SALIX,SASP
SALSP,S,SALIXSP.,Salix sp.,NA,,Salix sp.,NA,unidentified Salix - same as SALIX,SASP
SCPU,G,SCHIPUR,Schizachne purpurascens,(Torr.)  Swallen,purple oat grass,Schizachne purpurascens,(Torr.) Swallen,,SCPU
SESE,F,,Senecio sp.,,,Senecio sp.,,unidentified species,SESP
SESP,F,,Senecio sp.,,,Senecio sp.,,unidentified species,SESP
SEER,F,SENEERE,Senecio eremophilus,Richards.,desert ragwort,Senecio eremophilus,Richards.,NA,SEER
SEDE,F,,Selaginella densa,Rydb.,small clubmoss,Selaginella densa,Rydb.,only in AOS plots,SEDE
SEST,F,,Senecio streptanthifolius,Greene,cleftleaf groundsel,Packera streptanthifolia,(Greene) W.A. Weber & ç. Lšve,only in AOS plots,PAST
SNIN,F,,Senecio integerrimus,Nutt.,lambstongue groundsel,Senecio integerrimus,Nutt.,only in AOS plots,SNIN
