stand,month,day,year,tree_tag,age,height_cm,basal_diameter_mm,notes
4,5,17,1983,396,2,2,0.5,seedling
4,5,17,1983,348,3,4,0.5,seedling
4,5,17,1983,309,6,9,1,seedling
4,5,17,1983,392,7,6,2,seedling
4,5,17,1983,349,4,3,1,seedling
4,5,17,1983,378,8,4,3,NA
4,5,17,1983,319,6,11,2,NA
4,5,17,1983,322,12,8,3,NA
4,5,17,1983,347,35,160,25,NA
4,5,17,1983,341,6,5,2,NA
4,5,17,1983,318,6,4,1,NA
4,5,17,1983,351,35,170,27,NA
4,5,17,1983,325,35,180,19,NA
4,5,17,1983,394,6,9.5,2,seedling
4,5,17,1983,324,4,3.5,1,seedling
4,5,17,1983,391,5,5,1.5,seedling
4,5,17,1983,358,7,7,1.5,seedling
4,5,17,1983,354,7,5,2,seedling
4,5,17,1983,368,8,6,2,NA
4,5,17,1983,345,6,5,1,NA
4,5,17,1983,339,3,3,1,NA
4,5,17,1983,381,5,3,1,NA
4,5,17,1983,387,4,2.5,1.5,NA
4,5,17,1983,399,30,120,22,NA
4,5,17,1983,395,5,4,2,NA
4,5,17,1983,334,2,1,1,NA
4,5,17,1983,398,4,3,1,NA
4,5,17,1983,365,35,140,20,NA
4,5,17,1983,390,8,11,3,same as ind. 371
4,5,17,1983,393,13,16,4.5,NA
4,7,22,1983,720,4,3,5,NA
4,7,22,1983,751,3,7,2,NA
4,7,22,1983,745,4,11,3,NA
4,6,28,1984,327,NA,31,13,"girdled, top died 1981"
4,6,28,1984,340,NA,14,2,NA
4,6,28,1984,379,NA,38,9,NA
4,6,28,1984,326,NA,32,7,NA
4,6,28,1984,303,NA,82,21,NA
4,6,28,1984,342,NA,66,9,NA
4,6,28,1984,369,NA,213,34,NA
4,6,28,1984,329,NA,5,1,NA
4,6,28,1984,302,NA,140,16,NA
4,6,28,1984,336,NA,4,1,NA
4,6,28,1984,360,NA,280,32,"tip broke off, half of 1983 growth"
4,6,28,1984,380,NA,142,17,NA
4,6,28,1984,397,NA,211,20,NA
4,6,28,1984,353,NA,3,1,no new growth
4,6,27,1984,395,NA,4,1,NA
4,6,27,1984,334,NA,2,1,NA
4,6,27,1984,341,NA,7,1,NA
4,6,27,1984,339,NA,3,1,no new growth
4,6,27,1984,324,NA,3,1,NA
4,6,27,1984,322,NA,5,1,NA
4,6,27,1984,381,NA,3,1,no date given; assumed 1983
