stand,east_west,north_south,contour_value
7,4,A,10.09
7,5,A,9.94
7,6,A,10.16
7,7,A,9.93
7,8,A,9.63
7,9,A,9.68
7,10,A,9.83
7,0,B,9.78
7,1,B,9.97
7,2,B,10.89
7,3,B,9.91
7,4,B,10.38
7,5,B,10.48
7,6,B,10.59
7,7,B,9.58
7,8,B,9.59
7,9,B,9.71
7,10,B,9.57
7,0,C,10.1
7,1,C,9.97
7,2,C,10.36
7,3,C,9.3
7,4,C,9.79
7,5,C,9.91
7,6,C,10.02
7,7,C,9.74
7,8,C,9.57
7,9,C,10.16
7,10,C,9.59
7,0,D,10.35
7,1,D,9.93
7,2,D,9.64
7,3,D,10.46
7,4,D,9.88
7,5,D,10.16
7,6,D,10.29
7,7,D,9.82
7,8,D,10.01
7,9,D,9.75
7,10,D,10.04
7,0,E,10.32
7,1,E,10.1
7,2,E,10.05
7,3,E,10.06
7,4,E,10.19
7,5,E,9.7
7,6,E,10
7,7,E,9.97
7,8,E,9.86
7,9,E,9.7
7,10,E,9.79
7,0,F,9.98
7,1,F,9.88
7,2,F,10.67
7,3,F,10.09
7,4,F,10.55
7,5,F,9.77
7,6,F,10.45
7,7,F,9.95
7,8,F,9.77
7,9,F,10.25
7,10,F,9.99
7,0,G,10.37
7,1,G,10.35
7,2,G,11.04
7,3,G,10.39
7,4,G,10.7
7,5,G,10.38
7,6,G,10.68
7,7,G,9.95
7,8,G,10.04
7,9,G,9.73
7,10,G,9.59
7,0,H,10.67
7,1,H,10.29
7,2,H,10.03
7,3,H,10.52
7,4,H,10.74
7,5,H,9.93
7,6,H,10.56
7,7,H,10.25
7,8,H,10.18
7,9,H,10.23
7,10,H,9.71
7,0,I,10.31
7,1,I,10.42
7,2,I,10.65
7,3,I,10.32
7,4,I,10.61
7,5,I,10.3
7,6,I,10.47
7,7,I,10.06
7,8,I,10.59
7,9,I,9.58
7,10,I,10.3
7,0,J,10.54
7,1,J,10.36
7,2,J,10.45
7,3,J,10.27
7,4,J,10.56
7,5,J,10.06
7,6,J,10.4
7,7,J,9.8
7,8,J,10.28
7,9,J,9.76
7,10,J,10.7
7,0,K,10.67
7,1,K,10.62
7,2,K,10.36
7,3,K,9.76
7,4,K,10.37
7,5,K,10.58
7,6,K,10.27
7,7,K,9.85
7,8,K,11.15
7,9,K,10.85
7,10,K,10.21
8,0,A,10
8,1,A,9.75
8,2,A,9.43
8,3,A,9.33
8,4,A,9.13
8,5,A,9.25
8,6,A,9.58
8,7,A,9.53
8,8,A,9.53
8,9,A,10.37
8,10,A,10.42
8,0,B,9.55
8,1,B,9.43
8,2,B,9.66
8,3,B,9.21
8,4,B,9.76
8,5,B,9.41
8,6,B,9.28
8,7,B,10.16
8,8,B,10.14
8,9,B,10.16
8,10,B,10.56
8,0,C,9.31
8,1,C,9.34
8,2,C,9.74
8,3,C,9.25
8,4,C,9.58
8,5,C,9.76
8,6,C,9.57
8,7,C,10.61
8,8,C,10.71
8,9,C,10.38
8,10,C,10.36
8,0,D,9.38
8,1,D,9.46
8,2,D,9.94
8,3,D,9.48
8,4,D,9.58
8,5,D,9.3
8,6,D,9.9
8,7,D,10.57
8,8,D,10.34
8,9,D,10.69
8,10,D,10.8
8,0,E,9.58
8,1,E,10
8,2,E,10.39
8,3,E,9.48
8,4,E,9.76
8,5,E,9.74
8,6,E,10.04
8,7,E,10.48
