stand,quad,tree_tag,species_code,DBH_1983_cm,base_coord_S_1983_m,base_coord_W_1983_m,year_dead,fallen_stem_length_1983_m,exit_coord_S_1983_m,exit_coord_W_1983_m,year_fallen_1988,age_1983,stem_height_1983_m,stem_lean_amt_scaled_1983,stem_lean_dir_1983,stem_lean_amt_1991,stem_lean_dir_1991,stem_lean_amt_2000,stem_lean_dir_2000,crown_width_NS_1983_m,crown_width_EW_1983_m,height_to_crown_1983_m,fill_perc_1983,BSD_1983_cm,radial_10year_inc_1983_mm,DBH_1991_cm,DBH_2000_cm,height_2000_m,tree_code_2000,fire_code_2000,comments,DBH_2005_cm,height_2005_m,code_2005,lean_amount_2005_degrees,lean_direction_2005,comments_2005,DBH_2010_cm,height_2010_m,code_2010,lean_amount_2010_degrees,lean_direction_2010,comments_2010
1,1F,6405,PIBA,4.5,0.5,2,1982,6.5,3.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1F,6404,PIBA,14.5,0.6,0.9,NA,NA,NA,NA,NA,33,13.7,S,S,NA,NA,NA,NA,4.1,2.4,6.3,45,18.1,14.34,17.4,19.5,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1F,6403,PIBA,10,1.4,1.4,NA,NA,NA,NA,NA,36,13.3,S,E,NA,NA,NA,NA,2.5,1.5,5.2,35,12.4,11.57,12.4,14.5,17.4,NA,NA,NA,15.3,17.6,NA,NA,NA,NA,16.1,19.1,NA,NA,NA,NA
1,1F,6400,PIBA,12.5,1.6,0.1,NA,NA,NA,NA,NA,32,12.9,S,W,NA,NA,NA,NA,2.2,2.1,6.1,45,15.5,NA,15,16.8,17.4,NA,NA,NA,17.5,18,NA,NA,NA,NA,18.1,19.8,NA,NA,NA,NA
1,1F,6401,PIBA,11.2,1.9,0.3,NA,NA,NA,NA,NA,37,12.5,S,NE,NA,NA,NA,NA,1.8,1.5,3.1,35,13.9,8.15,13,13.3,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1F,6402,PIBA,5,2.1,1,2000,NA,NA,NA,NA,33,9.9,S,NE,NA,NA,NA,NA,1.1,0.7,3.9,35,NA,2.81,5.7,5.3,10.3,DS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1G,6408,PIBA,14.8,2.4,4.5,NA,NA,NA,NA,NA,38,13.7,Z,Z,NA,NA,NA,NA,2.4,2.3,5,40,17.4,15.29,16.5,18.3,17.1,NA,NA,NA,19.7,17.7,NA,NA,NA,NA,20.2,19.1,NA,NA,NA,NA
1,1H,6409,PIBA,15.2,0.7,0.8,NA,NA,NA,NA,NA,37,13.7,Z,Z,NA,NA,NA,NA,4.1,2.6,4,35,17.8,15.61,17.3,19.5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1H,6413,PIBA,10.5,1.1,4.3,NA,NA,NA,NA,NA,31,12.8,S,S,NA,NA,NA,NA,1.9,1.9,5,65,12.9,9,12,13,15.7,NA,NA,NA,13.2,16.1,NA,NA,NA,NA,13.3,15.8,NA,NA,NA,broken top
1,1H,6411,PIBA,9.2,1.5,2.9,NA,NA,NA,NA,NA,31,12.4,Z,Z,NA,NA,NA,NA,2.4,1.5,2.5,60,12.5,14.59,11.7,13,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
