"stand","plot","tag","species_code","DBH_1983_cm","base_coord_N_1983_m","base_coord_S_1983_m","base_coord_E_1983_m","base_coord_W_1983_m","year_dead","fallen_stem_length_1983_m","exit_coord_N_1983_m","exit_coord_S_1983_m","exit_coord_E_1983_m","exit_coord_W_1983_m","year_fallen_1983","age_1983","stem_height_1983_m","stem_lean_amt_scaled_1983","stem_lean_dir_1983","stem_lean_amt_1991","stem_lean_dir_1991","stem_lean_amt_2000","stem_lean_dir_2000","crown_width_NS_1983_m","crown_width_EW_1983_m","height_to_crown_1983_m","fill_perc_1983","BSD_1983","radial_10year_inc_1983_mm","DBH_1991_cm","DBH_2000_cm","height_2000_m","tree_code_2000","fire_code_2000","comments"
"5","0H","2629","POTR",10,NA,"0.4",NA,"2.5","1982","0.7",NA,"0",NA,"2.4","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,""
"5","0H","2630","PIGL",3.8,NA,"0.8",NA,"2",NA,NA,NA,NA,NA,NA,NA,"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.73","6.5","8.9","8.1",NA,NA,""
"5","0H","2391","POTR",21.2,NA,"1.7","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.7","26.7","24.7",NA,NA,""
"5","0H","2640","PIGL",16.5,NA,"2.2",NA,"1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.6","22.7","18.5",NA,NA,""
"5","0H","2627","POTR",9.5,"0.8",NA,"0.7",NA,"1982","4.2",NA,"0","1.3",NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,""
"5","0H","2300","PIGL",11.5,"1",NA,NA,"0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.9","16.6","16.6",NA,NA,""
"5","0H","2302","POTR",15.8,"1.5",NA,"1.1",NA,"1984",NA,NA,NA,"3.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.4",NA,NA,"DD",NA,""
"5","0H","2301","POTR",12.2,"1.8",NA,"2.3",NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.6",NA,NA,"DD",NA,""
"5","0H","2299","POTR",15.2,"1.9",NA,NA,"0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.3","17.5",NA,"LL",NA,""
"5","0I","2633","PIGL",11,NA,"0.8","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.8","17.3","15.4",NA,NA,""
"5","0I","2638","BEPA",7.8,NA,"0.9",NA,"0.5","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.2","8",NA,"DB2",NA,""
"5","0I","2634","POTR",13.8,NA,"1","0.6",NA,"1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,"DD",NA,""
"5","0I","2639","POTR",14.8,NA,"1.9",NA,"0.1","1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.1",NA,NA,"DB2",NA,"2.5_m_snag,_exit_E_0.9_(1991)"
"5","0I","2635","PIGL",3,"0.2",NA,"1.3",NA,NA,NA,NA,NA,NA,NA,NA,"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.05","4.1","4.5","4.6",NA,NA,""
"5","0I","2637","POTR",16.2,"0.9",NA,"0.5",NA,"1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.2",NA,NA,"DB2",NA,""
"5","0I","2303","POTR",9.5,"1.4",NA,NA,"2.3","1982","3.8",NA,"0",NA,"1.4","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.7",NA,NA,"DD",NA,""
