stand,quadrat,tree_tag,dead,height_m,age,dbh_m,sp_codes
4,2A,1462,l,NA,NA,5.33399712,PIBA
4,2A,1463,l,NA,NA,8.127995611,PIBA
4,2A,1464,l,NA,NA,4.317997668,PIBA
4,2A,1465,l,NA,NA,8.889995199,PIBA
4,2A,1466,l,NA,NA,6.349996571,PIBA
4,2A,1468,l,9.4,29,4.317997668,PIBA
4,2A,1467,l,NA,NA,9.651994788,PIBA
4,2B,1473,d,NA,NA,9.143995062,PIBA
4,2B,1472,l,NA,NA,13.71599259,PIBA
4,2B,1469,l,6.5,28,4.317997668,PIBA
4,2B,1474,l,NA,NA,10.15999451,PIBA
4,2B,1470,l,NA,NA,10.41399438,PIBA
4,2B,1471,d,NA,NA,3.047998354,PIBA
4,2C,1475,l,NA,NA,10.66799424,PIBA
4,2C,1476,l,NA,NA,11.42999383,PIBA
4,2D,1477,l,NA,NA,4.063997805,PIBA
4,2D,1478,l,NA,NA,13.20799287,PIBA
4,2D,1479,l,9.4,34,9.905994651,PIBA
4,2D,1480,l,NA,NA,10.66799424,PIBA
4,2D,1481,l,NA,NA,9.651994788,PIBA
4,2E,1483,l,NA,NA,13.71599259,PIBA
4,2E,1482,d,NA,NA,9.397994925,PIBA
4,2E,1484,l,NA,NA,7.873995748,PIBA
4,2E,1485,l,NA,NA,8.635995337,PIBA
4,2E,1486,d,NA,NA,8.635995337,PIBA
4,2E,1487,l,NA,NA,13.96999246,PIBA
4,2G,1488,l,NA,NA,11.42999383,PIBA
4,2G,1489,l,NA,NA,6.095996708,PIBA
4,2G,1490,l,NA,NA,11.93799355,PIBA
4,2H,1491,l,10.8,33,14.47799218,PIBA
4,2I,1492,d,NA,NA,4.825997394,PIBA
4,2I,1493,l,NA,NA,14.47799218,PIBA
4,2I,1494,l,NA,NA,11.17599396,PIBA
4,2J,1496,d,NA,NA,10.66799424,PIBA
4,2J,1495,l,NA,NA,10.66799424,PIBA
4,3J,1497,l,NA,NA,6.603996434,PIBA
4,3J,1498,l,NA,NA,11.68399369,PIBA
4,3J,1499,l,NA,NA,11.17599396,PIBA
4,3I,1500,l,NA,NA,8.635995337,PIBA
4,3H,1501,l,NA,NA,14.47799218,PIBA
4,3H,1502,l,NA,NA,7.11199616,PIBA
4,3F,1503,l,NA,NA,9.143995062,PIBA
4,3F,1504,d,NA,NA,6.349996571,PIBA
4,3F,1505,l,9.1,36,8.889995199,PIBA
4,3E,1507,d,NA,NA,10.66799424,PIBA
4,3E,1506,d,NA,NA,9.651994788,PIBA
4,3E,1508,d,NA,NA,10.66799424,PIBA
4,3E,1509,d,NA,NA,11.42999383,PIBA
4,3E,1510,d,10.4,32,5.33399712,PIBA
4,3D,1511,l,NA,NA,10.66799424,PIBA
4,3D,1512,l,10.5,34,10.9219941,PIBA
4,3D,1513,l,NA,NA,12.953993,PIBA
4,3C,1514,l,NA,NA,13.71599259,PIBA
4,3C,1516,l,NA,NA,14.22399232,PIBA
4,3C,1517,l,NA,NA,10.41399438,PIBA
4,3C,1515,l,NA,NA,9.397994925,PIBA
4,3C,1518,l,NA,NA,9.397994925,PIBA
4,3B,1521,l,NA,NA,9.651994788,PIBA
4,3B,1520,l,NA,NA,9.651994788,PIBA
4,3B,1519,l,NA,NA,8.381995474,PIBA
4,3B,1522,l,NA,NA,11.17599396,PIBA
4,3B,1523,l,NA,NA,13.96999246,PIBA
