Order from csv file,Species,Strata,X7.letter.code,sci.name.2005,sci.authority.2005,common.name,sci.name.2020,sci.authority2020,Comments,Accepted...Y.N.,,,
127,FZSB,NA,NA,NA,NA,NA,NA,NA,this is a species that was found once in the post fire 2001 resurvey in stand 6,NA,,,
11,GABO,F,GALIBOR,Galium boreale,L.,northern bedstraw,Galium boreale,L.,,Y,,,
76,GALA,F,GALILAB,Galium labradoricum,Wieg.,Labrador bedstraw,Galium labradoricum,(Wiegand) Wiegand,,Y,,,
66,GATR,F,GALITRI,Galium triflorum,Michx.,sweet-scented bedstraw,Galium triflorum,Michx.,,Y,,,
24,GEAM,F,GENTAMA,Gentianella amarella,(L.) Borner,felwort,Gentianella amarella,(L.) Borner,,Y,,,
40,GEBI,F,GERABIC,Geranium bicknellii,Britt.,Bicknell's geranium,Geranium bicknellii,Britton,,Y,,,
12,GELI,F,GEOCLIV,Geocaulon lividum,(Richards.) Fern.,northern bastard toadflax,Geocaulon lividum,(Richardson) Fernald,,Y,,,
150,GEPU,F,GERAPUS,Geranium pusillum,L.,small eranium,Geranium pusillum,L.,possibly; this is an introduced weed,NA,,,
155,GEPU_2,F,GERAPUS,Geranium pusillum,L.,small eranium,Geranium pusillum,L.,same as GEPU,NA,,,
72,GERI,F,GEUMRIV,Geum rivale,L.,purple avens,Geum rivale,L.,,Y,,,
33,GORE,F,GOODREP,Goodyera repens,(L.) R.Br.,lesser rattlesnake plantain,Goodyera repens,(L.) R. Br.,,Y,,,
52,GYDR,F,GYMNDRY,Gymnocarpium dryopteris,(L.) Newm.,oak fern,Gymnocarpium dryopteris,(L.) Newman,,Y,,,
73,HAHY,F,HABEHYP,Habenaria hyperborea,(L.) R.Br.,northern green bog orchid,Plantanthera hyperborea,(L.) Lindl.,,N,,,
161,HERB,F,HERBUNK1,unknown herb,NA,NA,NA,NA,NA,NA,,,
136,HERBB,F,HERBUNK2,unknown herb,NA,NA,NA,NA,NA,NA,,,
137,HERBD,F,HERBUNK3,unknown herb,NA,NA,NA,NA,NA,NA,,,
13,HIUM,F,HIERUMB,Hieracium umbellatum,L.,narrow-leaved hawkweed,Hieracium umbellatum,L.,,Y,,,
169,HOJU,G,HORDJUB,Hordeum jubatum,L.,foxtail barley,Hordeum jubatum,L.,same as HOR-JUB,NA,,,
123,HOR-JUB,G,HORDJUB,Hordeum jubatum,L.,foxtail barley,Hordeum jubatum,L.,,Y,,,
179,JUBA,G,JUNCBAL,Juncus balticus,Willd.,Wire rush,Juncus arcticus,Willd.,NA,NA,,,
224,LALA,T,LARILAR,Larix laricina,(Du Roi) K. Koch,tamarack,Larix laricina,(Du Roi) K. Koch,,Y,,,
14,LAOC,F,LATHOCH,Lathyrus ochroleucus,Hook.,cream-colored vetchling,Lathyrus ochroleucus,Hook.,,Y,,,
140,LAOC_2,F,LATHOCH,Lathyrus ochroleucus,Hook.,cream-colored vetchling,Lathyrus ochroleucus,Hook.,same as LAOC,NA,,,
165,LASP,F,LATHSP.,Lathyrus sp.,NA,NA,NA,NA,either LAOC or LAVE,NA,,,
138,LAVE,F,LATHVEN,Lathyrus venosus,Muhl. Ex Willd.,veiny pea (or purple pea vine),Lathyrus venosus,Muhl. Ex Willd.,NA,NA,,,
199,LEGR,S,LEDUGRO,Ledum groenlandicum,Oeder,common Labrador tea,Rhododendron groenlandicum,(Oeder) Kron & Judd, ,N,,,
15,LIBO,F,LINNBOR,Linnaea borealis,L.,twinflower,Linnaea borealis,L.,,Y,,,
16,LIPH,F,LILIPHI,Lilium philadelphicum,L.,western wood lily,Lilium philadelphicum,L.,,Y,,,
210,LOCA,S,LONICAE,Lonicera caerulea,L.,fly honeysuckle,Lonicera caerulea,L.,,Y,,,
200,LODI,S,LONIDIO,Lonicera dioica,L.,twining honeysuckle,Lonicera dioica,L.,,Y,,,
204,LOIN,S,LONIINV,Lonicera involucrata,(Richards.) Banks,bracted honeysuckle,Lonicera involucrata,(Richardson) Banks ex Spreng.,,Y,,,
30,LYAN,F,LYCOANN,Lycopodium annotinum,L.,stiff club-moss,Lycopodium annotinum,L.,,Y,,,
23,LYCO,F,LYCOCOM,Lycopodium complanatum,L.,ground-cedar,Lycopodium complanatum,L.,,Y,,,
49,LYOB,F,LYCOOBS,Lycopodium obscurum,L.,ground-pine,Lycopodium obscurum,L.,,Y,,,
17,MACA,F,MAIACAN,Maianthemum canadense,Desf.,wild lily-of-the-valley,Maianthemum canadense,Desf.,,Y,,,
160,MAMO,F,MALAMON,Malaxis monophyllos,(L.) Sw.,white adder's-mouth orchid,Malaxis brachypoda ,(A. Gray) Fernald,NA,NA,,,
