Strata,Species,7.letter.code,sci.name.2005,sci.authority.2005,common.name,sci.name.2020,sci.authority2020,Comments,Accepted? (Y/N)
G,CX-BYEL,,,,,0,0,"Derek was unable to give a confirmed identification for this carex species in 2005 - ""CX-BYEL"" = ""Carex Big Yellow"" was very abundant and collected in Stand 4 in 2005 - its average cover was ca. 10% (verified by George LaRoi)",
G,CXCO,CARECON,Carex concinna,R.Br.,beautiful sedge,Carex concinna,R.Br.,,Y
G,CXDE,CAREDEF,Carex deflexa,Hornem.,bent sedge,Carex deflexa,Hornem.,"identified by Derek Johnson - called ""CX-TUS"" on 2005 fieldsheet",Y
G,CXDI,CAREDIA,Carex diandra,Schrank,two-stamened sedge,Carex diandra,Schrank,species name verified by George LaRoi,Y
G,CXDS,CAREDIS,Carex disperma,Dewey,two-seeded sedge,Carex disperma,Dewey,species name verified by George LaRoi,Y
G,CXGY,CAREGYN,Carex gynocrates,Wormsk.,northern bog sedge,Carex gynocrates,Wormsk. ex Drejer,,Y
G,CXHO,CAREHOU,Carex houghtoniana,Torr.,sand sedge,Carex houghtoniana,Torr. ex Dewey,"identified by Derek Johnson - called ""CX-BIG"" in Stands 3 and 8 and ""CX-BIGFRUIT"" in Stand 4 on 2005 fieldsheet - Derek Johnson confirmed that they are the same species",Y
G,CXIN,CAREINT,Carex interior,Bailey,inland sedge,Carex interior,L.H. Bailey,,Y
G,CXLI,CARELIM,Carex limosa,L.,mud sedge,Carex limosa,L.,,Y
G,CXRI,CARERIC,Carex richardsonii,R.Br.,Richardson's sedge,Carex richardsonii,R.Br.,,Y
G,CXRO,CAREROS,Carex rostrata,Stokes,beaked sedge,Carex rostrata,Stokes,,Y
G,CXSI,CARESIC,Carex siccata,Dewey,hay sedge,Carex siccata,Dewey,,Y
G,CXSO,,,,,0,0,not sure of this species - verified by George La Roi,
G,CXVA,CAREVAG,Carex vaginata,Tausch,sheathed sedge,Carex vaginata,Tausch,"identified by Derek Johnson - called ""CX-VLF"" on 2005 fieldsheet",Y
G,CXYL,,,,,0,0,"""CXYL"" = ""CXYI"" = ""Carex Yellow"" - not collected - strongly chlorotic leaves (verified by George LaRoi)",
G,ELGL,ELYMGLA,Elymus glaucus,Buckl.,smooth wild rye,Elymus glaucus,Buckley,,Y
G,ELIN,ELYMINN,Elymus innovatus,Beal,hairy wild rye,Leymus innovatus,(Beal) Pilg.,,N
G,ERGR,ERIOGRA,Eriophorum gracile,Koch,slender cotton grass,Eriophorum gracile,W.D.J. Koch,,Y
G,FESA,FESTSAX,Festuca saximontana,Rydb.,Rocky Mountain fescue,Festuca saximontana,Rydb.,recorded by Robert Ellis in 1987 -  may have been Oryzopsis pungens (verified by George LaRoi),Y
G,HOR-JUB,HORDJUB,Hordeum jubatum,L.,foxtail barley,Hordeum jubatum,L.,,Y
G,MUGL,MUHLGLO,Muhlenbergia glomerata,(Willd.) Trin.,bog muhly,Muhlenbergia glomerata,(Willd.) Trin.,,Y
G,ORAS,ORYZASP,Oryzopsis asperifolia,Michx.,white-grained mountain rice grass,Oryzopsis asperifolia,Michx.,,Y
G,ORPU,ORYZPUN,Oryzopsis pungens,(Torr.) A.S. Hitchc.,northern rice grass,Piptatherum pungens,(Torr.) Dorn,,N
G,SCPU,SCHIPUR,Schizachne purpurascens,(Torr.)  Swallen,purple oat grass,Schizachne purpurascens,(Torr.) Swallen,,Y
G,TRMA,TRIGMAR,Triglochin maritima,L.,seaside arrow-grass,Triglochin maritima,L.,,Y
