year,stand,quad,total_cover,ABBA,BEPU,LALA,PIBA,PIGL,PIMA,POBA,POTR,ALCR,PRPE
1987,4,3H,90,39,0,0,0,50,1,0,0,0,0
1987,4,3I,88,32,0,0,0,52,2,0,2,0,0
1987,4,3J,90,29,0,0,0,59,0,0,2,0,0
1987,4,4A,77,23,0,0,0,52,0,0,2,0,0
1987,4,4B,79,32,2,0,0,44,0,0,1,0,0
1987,4,4C,85,1,2,0,0,81,0,0,1,0,0
1987,4,4D,76,1,0,0,0,74,0,0,1,0,0
1987,4,4E,81,9,0,0,0,70,0,0,2,0,0
1987,4,4F,85,34,0,0,0,48,1,0,2,0,0
1987,4,4G,88,36,0,0,0,49,0,0,3,0,0
1987,4,4H,82,54,0,0,0,26,0,0,2,0,0
1987,4,4I,88,54,0,0,0,33,0,0,1,0,0
1987,4,4J,84,53,0,0,0,28,0,0,3,0,0
1987,4,5A,94,48,0,0,0,45,0,0,1,0,0
1987,4,5B,92,54,0,0,0,38,0,0,0,0,0
1987,4,5C,75,10,0,0,0,64,0,0,1,0,0
1987,4,5D,81,2,1,0,0,77,0,0,1,0,0
1987,4,5E,90,36,0,0,0,53,0,0,1,0,0
1987,4,5F,89,57,0,0,0,31,0,0,1,0,0
1987,4,5G,83,50,0,0,1,31,0,0,1,0,0
1987,4,5H,79,44,0,0,2,32,0,0,1,0,0
1987,4,5I,83,50,0,0,2,31,0,0,0,0,0
1987,4,5J,85,38,0,0,0,46,0,0,1,0,0
1987,4,6A,83,28,0,0,0,55,0,0,0,0,0
1987,4,6B,92,55,0,0,0,37,0,0,0,0,0
1987,4,6C,88,19,0,0,0,69,0,0,0,0,0
1987,4,6D,88,5,0,0,1,81,0,0,1,0,0
1987,4,6E,90,49,0,0,2,37,2,0,0,0,0
1987,4,6F,85,37,0,0,4,40,4,0,0,0,0
1987,4,6G,79,27,0,0,4,48,0,0,0,0,0
1987,4,6H,70,19,0,0,5,46,0,0,0,0,0
1987,4,6I,81,27,0,0,4,50,0,0,0,0,0
1987,4,6J,85,41,0,0,0,44,0,0,0,0,0
1987,4,7A,83,46,2,0,0,35,0,0,0,0,0
1987,4,7B,92,54,0,0,3,35,0,0,0,0,0
1987,4,7C,74,15,0,0,3,56,0,0,0,0,0
1987,4,7D,85,44,1,0,2,36,2,0,0,0,0
1987,4,7E,77,25,0,0,10,39,2,0,1,0,0
1987,4,7F,78,21,6,0,3,48,0,0,0,0,0
1987,4,7G,77,25,0,0,7,45,0,0,0,0,0
1987,4,7H,92,40,0,0,5,47,0,0,0,0,0
1987,4,7I,88,36,0,0,4,47,1,0,0,0,0
1987,4,7J,66,11,0,0,3,51,0,0,1,0,0
1987,4,8A,79,23,1,0,0,51,4,0,0,0,0
1987,4,8B,80,43,2,0,0,33,0,0,2,0,0
1987,4,8C,69,5,0,0,3,60,0,0,1,0,0
1987,4,8D,74,9,1,0,6,57,0,0,1,0,0
1987,4,8E,83,38,0,0,3,41,1,0,0,0,0
1987,4,8F,71,21,0,0,3,45,2,0,0,0,0
1987,4,8G,68,5,0,0,5,54,4,0,0,0,0
1987,4,8H,88,54,0,0,1,31,2,0,0,0,0
1987,4,8I,93,52,0,0,0,40,1,0,0,0,0
1987,4,8J,47,3,0,0,0,40,2,0,2,0,0
1987,4,9A,62,8,1,0,0,51,0,0,2,0,0
1987,4,9B,89,51,0,0,0,37,0,0,1,0,0
1987,4,9C,67,17,0,0,0,42,4,0,3,0,0
1987,4,9D,75,28,0,0,0,42,2,0,3,0,0
1987,4,9E,59,6,1,0,2,47,2,0,1,0,0
1987,4,9F,62,4,1,0,2,45,8,0,2,0,0
1987,4,9G,69,10,0,0,1,48,8,0,2,0,0
1987,4,9H,72,10,0,0,3,56,3,0,0,0,0
1987,4,9I,85,26,0,0,1,58,0,0,0,0,0
1987,4,9J,51,2,0,0,0,48,0,0,1,0,0
1987,5,0A,75,0,0,0,0,61,0,0,14,0,0
1987,5,0B,75,0,0,0,0,48,0,0,27,0,0
1987,5,0C,72,0,0,0,0,51,0,0,21,0,0
1987,5,0D,83,0,0,0,0,69,0,0,14,0,0
1987,5,0E,79,0,0,0,0,63,0,0,16,0,0
1987,5,0F,64,0,0,0,0,39,0,0,25,0,0
1987,5,0G,58,0,0,0,0,31,0,0,27,0,0
1987,5,0H,66,0,0,0,0,53,0,0,13,0,0
1987,5,0I,56,0,0,0,0,31,0,0,25,0,0
1987,5,0J,78,0,0,0,0,63,0,2,13,0,0
1987,5,1A,85,0,0,0,0,79,0,0,6,0,0
1987,5,1B,79,0,0,0,0,73,0,0,6,0,0
1987,5,1C,68,0,0,0,0,54,0,0,14,0,0
1987,5,1D,75,0,0,0,0,61,0,0,14,0,0
1987,5,1E,83,0,0,0,0,67,0,0,16,0,0
1987,5,1F,75,0,0,0,0,54,0,0,21,0,0
1987,5,1G,69,0,0,0,0,52,0,3,14,0,0
1987,5,1H,83,0,0,0,0,74,0,5,4,0,0
1987,5,1I,70,0,0,0,0,46,0,5,19,0,0
1987,5,1J,64,0,0,0,0,37,0,0,27,0,0
1987,5,2A,90,0,0,0,0,80,0,0,10,0,0
1987,5,2B,72,0,0,0,0,57,0,0,15,0,0
1987,5,2C,71,0,0,0,0,59,0,1,11,0,0
1987,5,2D,69,0,0,0,0,46,0,1,22,0,0
1987,5,2E,88,0,0,0,0,72,0,0,16,0,0
1987,5,2F,90,0,0,0,0,69,0,0,11,0,0
1987,5,2G,73,0,0,0,0,58,0,0,15,0,0
1987,5,2H,81,0,0,0,0,63,0,0,18,0,0
1987,5,2I,83,0,0,0,0,69,0,0,14,0,0
1987,5,2J,66,0,0,0,0,38,0,1,27,0,0
1987,5,3A,89,0,0,0,0,74,0,0,15,0,0
1987,5,3B,86,0,0,0,0,70,0,0,16,0,0
1987,5,3C,78,0,0,0,0,67,0,0,11,0,0
1987,5,3D,88,0,0,0,0,73,0,0,15,0,0
1987,5,3E,84,0,0,0,0,68,0,0,16,0,0
1987,5,3F,83,0,0,0,0,72,0,0,11,0,0
1987,5,3G,72,0,0,0,0,55,0,0,17,0,0
1987,5,3H,80,0,0,0,0,62,0,0,18,0,0
1987,5,3I,77,0,0,0,0,63,0,0,14,0,0
1987,5,3J,69,0,2,0,0,35,0,1,31,0,0
1987,5,4A,91,0,0,0,0,81,0,0,10,0,0
1987,5,4B,82,0,0,0,0,64,0,0,18,0,0
1987,5,4C,85,0,0,0,0,71,0,1,13,0,0
1987,5,4D,90,0,0,0,0,65,0,0,25,0,0
1987,5,4E,86,0,0,0,0,85,0,0,11,0,0
1987,5,4F,83,0,0,0,0,73,0,0,10,0,0
1987,5,4G,68,0,0,0,0,51,0,0,17,0,0
1987,5,4H,79,0,0,0,0,53,0,0,26,0,0
1987,5,4I,69,0,0,0,0,51,0,0,18,0,0
1987,5,4J,77,0,0,0,0,57,0,0,20,0,0
1987,5,5A,73,0,0,0,0,64,0,0,9,0,0
1987,5,5B,79,0,2,0,0,61,0,0,16,0,0
1987,5,5C,79,0,1,0,0,67,0,0,11,0,0
1987,5,5D,79,0,3,0,0,55,0,0,21,0,0
1987,5,5E,82,0,0,0,0,61,0,0,21,0,0
1987,5,5F,73,0,1,0,0,48,0,0,24,0,0
1987,5,5G,81,0,0,0,0,58,0,0,23,0,0
1987,5,5H,80,0,0,0,0,57,0,0,23,0,0
