month,year,stand,quad,temp_C
6,1982,1,4C,11
7,1982,1,4C,14
8,1982,1,4C,14
9,1982,1,4C,13
10,1982,1,4C,4
5,1983,1,4C,5
6,1983,1,4C,9
7,1983,1,4C,17
8,1983,1,4C,20
9,1983,1,4C,9
10,1983,1,4C,7
5,1984,1,4C,5.5
6,1984,1,4C,13.5
7,1984,1,4C,17.5
8,1984,1,4C,20
9,1984,1,4C,10.5
10,1984,1,4C,6.5
5,1985,1,4C,4
6,1985,1,4C,11.5
7,1985,1,4C,16
9,1985,1,4C,15.5
10,1985,1,4C,6
8,1986,1,4C,19
5,1987,1,4C,7
8,1987,1,4C,15
9,1987,1,4C,7
5,1988,1,4C,5
6,1988,1,4C,11
7,1988,1,4C,19
8,1988,1,4C,15.5
9,1988,1,4C,13
10,1988,1,4C,3
5,1989,1,4C,6
6,1989,1,4C,8
7,1989,1,4C,14
8,1989,1,4C,17
9,1989,1,4C,11
10,1989,1,4C,6
5,1990,1,4C,3
6,1990,1,4C,11
7,1990,1,4C,12
8,1990,1,4C,12
9,1990,1,4C,12
10,1990,1,4C,1
8,1995,1,4C,12
8,2000,1,4C,16
8,2005,1,4C,15
8,2010,1,4C,15
6,1981,1,4E,12
8,1981,1,4E,14
9,1981,1,4E,9
11,1981,1,4E,3
5,1982,1,4E,3
6,1982,1,4E,14
7,1982,1,4E,13
8,1982,1,4E,14
9,1982,1,4E,13
10,1982,1,4E,4
5,1983,1,4E,5
6,1983,1,4E,10
7,1983,1,4E,17
8,1983,1,4E,19
9,1983,1,4E,10
10,1983,1,4E,7
5,1984,1,4E,6.5
6,1984,1,4E,12.5
7,1984,1,4E,17
8,1984,1,4E,19
9,1984,1,4E,10.5
10,1984,1,4E,6.5
5,1985,1,4E,3
6,1985,1,4E,10.5
7,1985,1,4E,16
9,1985,1,4E,16
10,1985,1,4E,6
8,1986,1,4E,18
5,1987,1,4E,6
8,1987,1,4E,15
9,1987,1,4E,4
5,1988,1,4E,4
6,1988,1,4E,12
7,1988,1,4E,23
8,1988,1,4E,15.5
9,1988,1,4E,12
10,1988,1,4E,2
5,1989,1,4E,6
6,1989,1,4E,9
7,1989,1,4E,14
8,1989,1,4E,17
9,1989,1,4E,10
10,1989,1,4E,7
5,1990,1,4E,4
6,1990,1,4E,9
7,1990,1,4E,12
8,1990,1,4E,11
