"stand","plot","tag","species_code","DBH_1983_cm","base_coord_N_1983_m","base_coord_S_1983_m","base_coord_E_1983_m","base_coord_W_1983_m","year_dead","fallen_stem_length_1983_m","exit_coord_N_1983_m","exit_coord_S_1983_m","exit_coord_E_1983_m","exit_coord_W_1983_m","year_fallen_1983","age_1983","stem_height_1983_m","stem_lean_amt_scaled_1983","stem_lean_dir_1983","stem_lean_amt_1991","stem_lean_dir_1991","stem_lean_amt_2000","stem_lean_dir_2000","crown_width_NS_1983_m","crown_width_EW_1983_m","height_to_crown_1983_m","fill_perc_1983","BSD_1983","radial_10year_inc_1983_mm","DBH_1991_cm","DBH_2000_cm","height_2000_m","tree_code_2000","fire_code_2000","comments"
"2","5F","6861","PIBA",20,"1.6",NA,NA,"0.8",NA,NA,NA,NA,NA,NA,NA,"56","18.6","O","Z",NA,NA,NA,NA,"3.7","3.4","9.4","60","26.3","13.29","22.2","23.7","21.4",NA,NA,""
"2","5G","6858","PIBA",19.8,NA,"0.7","1.9",NA,NA,NA,NA,NA,NA,NA,NA,"58","19.2","O","Z",NA,NA,NA,NA,"3.8","3.5","12.4","65","26.7","10.63","22","23.2","23.5",NA,NA,""
"2","5G","6857","PIBA",23.8,NA,"2.5","1.3",NA,NA,NA,NA,NA,NA,NA,NA,"51","19.6","S","E",NA,NA,NA,NA,"5.2","4.8","4.5","60","32","17.23","26.5","28.7","23.2",NA,NA,""
"2","5G","6859","PIBA",29.5,"0.2",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"57","19.8","S","E",NA,NA,NA,NA,"6.3","7.8","6.2","45","37","15.49","32.7","34.7","24.7",NA,NA,""
"2","5H","6856","PIBA",20.8,NA,"0.8",NA,"1.8",NA,NA,NA,NA,NA,NA,NA,"53","15.4","S","SE",NA,NA,NA,NA,"4.3","4","1.9","40","27","10.48","22.3","24.2","20",NA,NA,""
"2","6A","6562","PIBA",19,NA,"2",NA,"1.1",NA,NA,NA,NA,NA,NA,NA,NA,"19","O","Z",NA,NA,NA,NA,"3.5","3.4","5.8","80","22.1",NA,"21.6","21.5","22.1",NA,NA,""
"2","6A","6564","PIBA",16.5,"0",NA,NA,"0.1",NA,NA,NA,NA,NA,NA,NA,NA,"18.8","S","W",NA,NA,NA,NA,"3.1","1.7","13.4","50","20.4",NA,"17.1","17.8","21",NA,NA,""
"2","6A","6565","PIBA",18.5,"0.3",NA,"0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.8","S","S",NA,NA,NA,NA,"3.9","2.6","8.2","40","23.9",NA,"20.3","21.3","20.3",NA,NA,""
"2","6A","6563","PIBA",20,"1.7",NA,NA,"0.6",NA,NA,NA,NA,NA,NA,NA,NA,"19","S","ESE",NA,NA,NA,NA,"2.7","5","6.3","55","25",NA,"24.4","24.5","23.3",NA,NA,""
"2","6B","6566","PIBA",20.5,NA,"0.2","0.2",NA,NA,NA,NA,NA,NA,NA,NA,"55","19.2","S","NE",NA,NA,NA,NA,"5.7","3.8","10.6","60","23.6","9.23","23.3","24","20.5",NA,NA,""
