Month,Year,Stand,Quad,PIBA,PIGL,POTR,ALCR,AMAL,ARUV,PRPE,ROAC,ROWO,RUID,SABE,SHCA,SYAL,ANMU,ANPA,ARNU,ASLA,CARO,ERGL,GABO,GELI,HIUM,LIBO,LIPH,MELI,ORSE,PYCH,SOSP,VIAD,CXSI,CXRI,ELGL,ELIN,ORAS,ORPU,EQAR,EQVA,LYCO,VAMY,VAVI,MACA,LAOC,FESA,AGSU,EPAN,AGSC,SCPU,LYAN
8,1986,2,8A,8,0.01,0,7,0,0,0,2,0,0,0,0,0,0,0,0.5,0,0,0,0,2,0,0.1,0,0,0.01,0.1,0,0,0.01,0,0,0.1,0,0,0,0.01,0,0,3,0.01,0,NA,0,NA,NA,NA,NA
8,1986,2,8C,8,0,0,6,0.5,0.1,0.5,3,0,0.1,0,0,0,0,0,3,0,0,0,0.01,1,0,0.5,0,0,0,0.01,0,0,0,0,0,0.5,0,0,0,0,0,0,3,0.5,0,NA,0,NA,NA,NA,NA
8,1986,2,8E,4,0,0,4,1,3,0.5,2,0,0.5,0,0,0,0.1,0,4,0.5,0.01,0,0.1,1,0,2,0,0,0,0,0,0.01,0,0,0,0.1,0,0.01,0,0,0.5,1,7,3,0,NA,0,NA,NA,NA,NA
8,1986,2,8G,5,0,0,6,2,2,0,1,0,2,0,0,0,0.1,0,0,0.5,0.01,0,0.1,0.1,0.1,6,0.01,0,0,0,0,0,0,0.01,0,0.1,0,0.01,0,0.01,0,3,10,1,0,NA,0,NA,NA,NA,NA
8,1986,2,8I,4,0,0,0.5,0.1,8,0.5,2,0,0,0,0,0,0.1,0,0,1,0.01,0.1,0.1,0,0,0.5,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0.1,0,0.01,0,4,4,4,0,NA,0,NA,NA,NA,NA
8,1986,2,4A.1,2,0,0,0,0.5,30,0,3,0,0,0,0,0,0,0.1,0,2,0.01,0.1,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0.5,0,0.01,0.1,0.01,0,0,0,2,0.5,0,0,NA,0.1,NA,NA,NA,NA
8,1986,2,4C.1,6,0,0,3,0.1,3,0.5,2,0,0,0,3,0,0,0,0,1,0,0.01,0.1,0,0,0,0,0.1,0,0,1,0,0.01,0.5,0,0.01,0,0.01,0,0,0,0.1,0,0.5,0,NA,0,NA,NA,NA,NA
8,1986,2,4E.1,8,1,0,6,0.1,5,0,3,0,0,0,0,0,0.1,0.1,0,0,0.01,0,0.1,0.5,0,0.5,0,0.01,0,0.01,0.1,0.1,0,0,0,0.1,0,0.01,0,0,0,1,5,1,0,NA,0,NA,NA,NA,NA
8,1986,2,4G.1,9,0,0,0,0,22,0,1,0,0,0,0,0,0,0.1,0,1,0,0.1,0.1,0.1,0,0.1,0,0.1,0,0,0.1,0,0,0.1,0,0.1,0,0.01,0,0,0,0.5,2,0.5,0,NA,0,NA,NA,NA,NA
8,1986,2,4I.1,0,0,0,4,0,3,0,0.5,0,0,1,0.1,0,0,0.01,0,1,0.01,0.1,0.1,0.1,0.1,0.1,0,0.5,0,0.01,0.1,0.1,0,0.1,0,0.1,0.01,0.01,0,0,0,0.1,1,0.1,0,NA,0,NA,NA,NA,NA
7,1986,2,0A,0.1,0,0.1,0,0.5,20,0,2,0,0,0,2,0,0.1,0.01,0,0.5,0.01,0,0.5,0.1,0.01,0.5,0,0.1,0,0.01,0.1,0.01,0,0.5,0,0.01,0.01,0.1,0.01,0,0,1,2,1,0,NA,0,NA,NA,NA,NA
7,1986,2,0C,1,0,0,0,0.5,35,0,2,0,0,0,0.1,0,0.1,0,0,0.5,0,0.01,0.01,0,0,0,0,0.1,0,0,0.1,0.1,0,0.1,0,0.1,0,0.01,0,0.01,0,0,1,0.1,0,NA,0,NA,NA,NA,NA
7,1986,2,0E,0.5,0,0,7,0,10,0.5,2,0,0,0,0,0,0.5,0.1,0,2,0.01,0.1,0.5,0,0,0,0,0.1,0,0.1,0.01,0.1,0,0.1,0,0.1,0.01,0.01,0,0,0,0,3,3,0.1,NA,0,NA,NA,NA,NA
7,1986,2,0G,6,0,0,0,0.1,40,0,1,0,0,0,0,0,0.1,0.1,0,0.5,0,0.1,0.1,0,0,0.1,0,0,0,0.01,0.1,0.1,0,0.1,0,0,0,0.01,0,0,0,0,0.1,0.1,0,NA,0,NA,NA,NA,NA
7,1986,2,0I,12,0,0,12,0.5,3,0.5,1,0,0,0,0,0,0.1,0,0,0,0.01,0.1,0.01,0,0,0.5,0,0,0.1,0,0.01,0,0.01,0.1,0,0.1,0,0.01,0,0,0,0,2,1,0,NA,0,NA,NA,NA,NA
7,1986,2,2I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
7,1986,2,2G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
7,1986,2,2E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
7,1986,2,2C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
7,1986,2,2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
6,1986,2,0A,0.5,0,0.1,0,0.1,8,0,0.5,0,0,0,1,0,0.1,0.01,0,0.1,0,0,0.1,0,0.01,0.1,0,0,0,0.01,0,0.01,0,0.1,0,0.01,0,0.01,0,0,0,0,6,0.1,0,NA,0,NA,NA,NA,NA
6,1986,2,0C,1,0,0,0,0.1,17,0,0.5,0,0,0,0.1,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0.5,0.01,0,NA,0,NA,NA,NA,NA
6,1986,2,0E,0,0,0,2,0,4,0.1,0.5,0,0,0,0,0,0.01,0,0,0.1,0.01,0.1,0.1,0,0,0,0,0,0,0,0,0.01,0,0.1,0,0.1,0.01,0.01,0,0,0,0,3,1,0,NA,0,NA,NA,NA,NA
6,1986,2,0G,5,0,0,0.1,0,20,0,0.1,0,0,0,0,0,0.01,0.01,0,0.1,0,0,0.01,0,0,0.1,0,0,0,0.01,0.01,0.01,0,0.1,0,0.01,0,0.01,0,0,0,0,0.5,0.1,0,NA,0,NA,NA,NA,NA
6,1986,2,0I,12,0,0,4,0.01,0.5,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.5,0,0,0.1,0,0,0,0,0.1,0,0.1,0,0.01,0,0,0,0,2,1,0,NA,0,NA,NA,NA,NA
6,1986,2,2I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
6,1986,2,2G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
6,1986,2,2E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
6,1986,2,2C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
