stand,year,month,PLOT,PIBA,PIGL,POTR,ALCR,AMAL,ARUV,PRPE,ROAC,ROWO,RUID,SABE,SHCA,SYAL,ANMU,ANPA,ARNU,ASLA,CARO,ERGL,GABO,GELI,HIUM,LIBO,LIPH,MELI,ORSE,PYCH,SOSP,VIAD,CXSI,CXRI,ELGL,ELIN,ORAS,ORPU,EQAR,EQVA,LYCO,VAMY,VAVI,MACA
2,1981,7,0E,0.5,0,0,15,0,25,0.5,3,0,0,0,0,0.1,0.5,0.5,0,3,0.1,0,0.5,0,0,0,0,0,0,0,0.5,0.1,0,0.1,0,2,0,0.5,0,0,0,0,3,2
2,1981,7,0G,7,0,0,0,0.5,40,0,2,0,0,0,0,0,0.5,0.1,0,1,0,0,0.1,0,0,0,0,0,0,0,0.5,0.1,0,0.1,0,0.1,0,2,0,0,0,0,0.5,0.5
2,1981,7,0I,25,0,0,35,0.5,1,1,3,0,0,0,0,0,0.1,0,0,0,0.01,0.1,0.01,0.1,0,0.5,0,0,0.5,0,0.5,0,0,0.1,0,0.5,0,0.1,0,0,0,0,3,1
2,1981,7,2A,20,0,0,2,0,10,0,1,0,0,0,1,0,0.1,0.5,0,2,0.01,0.1,0.5,0,0,0,0,0.5,0,0,0.5,0.5,0,0.1,0,0.5,0.1,1,0,0,0,3,7,2
2,1981,7,2C,15,0,0,20,0,1,1,5,0,1,0,0.5,0,0.5,0.5,0,0.1,0,0.5,0.1,5,0,0,0,0.1,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,1,7,2
2,1981,7,2E,7,0,0,0,3,3,0,3,0,0,0,30,0,0.5,0,0,1,0.01,0.5,0.1,0,0,2,0,0,0.1,0,0,0,0,0.5,0,0,0,0.1,0,0,0,2,30,1
2,1981,7,2G,20,0,0,25,0.1,3,0.5,3,0,0.5,0,0,0,0,0.1,0,0.5,0.01,0,0.1,2,0,1,0,0,0,0,0,0.1,0,0,0,0.1,0,0.5,0,0,0,2,20,1
2,1981,7,2I,25,0,0,7,0.5,4,0.5,4,0,0,0,0.5,0,0.5,0.1,2,0.5,0.1,0.1,0.5,0.5,0,1,0,0,0.1,0.01,0,0,0,0.1,0,0.5,0,0.1,0,0,0,0.5,40,2
2,1981,7,4A,4,0,0,0,1,35,0,5,0,0,0,0.5,0,0,0.5,0,1,0.01,0.5,0.1,0,0.1,0,0,0.1,0,0,0.5,0,0,0.1,0,1,0,0.5,0,0,0,0.5,0.5,0
2,1981,7,4C,7,0,0,5,0.5,8,1,3,0,0,0,2,0,0,0,0,0.5,0,0.5,0.1,0,0,0,0,0.1,0,0,0.5,0,0,0.5,0,0.5,0,1,0,0.01,0,0.1,0.1,0.1
2,1981,7,4E,15,2,0,15,0.5,5,0,4,0,0,0,0,0,0.5,0.5,0,1,0.01,0.5,0.1,0.5,0,1,0,0,0,0.1,0.5,0,0,0,0.1,0.5,0,0.5,0,0,0,1,8,0.5
2,1981,7,4G,12,0,0,0.1,0,35,0,1,0,0,0,0,0,0.1,0.5,0,0.5,0.01,0.1,0.1,0.1,0,0,0,0,0,0,0.5,0.01,0,0.5,0,0,0,0.1,0,0.01,0,0.5,15,0.1
2,1981,7,4I,0,0,0,2,0.1,5,0,0.5,0,0,1,0,0,0,0.1,0.01,1,0.1,0.1,0.5,0.1,0.1,0,0,0.1,0,0.01,0.5,0.01,0,0.5,0,0.5,0,0.1,0,0,0,0.1,0,0.1
2,1981,7,6A,20,0,0,10,0.1,1,0,2,0,0,0,0,0,0.1,0,0,0.5,0.01,0.1,0.01,0,0,0,0,0,NA,0.01,0,1,0,0.01,0,0,0,0,0,0,0,0,1,0.5
2,1981,7,6C,20,0,0,10,0.5,4,0.1,3,0,0,0,0,0,0,0.1,0,0.1,0.01,0.5,0.1,0,0,0.1,0,0,0,0.01,0.5,0,0.01,0,0,0.1,0.01,0.1,0,0.01,0,0.5,1,0.5
2,1981,7,6E,15,0,0,3,0.5,2,0,2,0,0,0,0,0,0,0.1,0,0.5,0.01,0.01,0.1,0,0,0.5,0,0,0,0,0.1,0.1,0,0,0,0.1,0.01,0.1,0,0.01,0,3,3,1
2,1981,7,6G,10,0,0,0,0,12,0.1,2,0,0,0,0,0,0.5,0.1,0,1,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0.5,0.1,0,0.5,0,0.01,0.01,0.5,0,0.1,0,1,12,0.5
