sp_name_1980,repaired_name_1980,accepted_name,species,code,notes,unified_code,kingdom,division,class,order,family,genus
Ptilidium,Ptilidium,Ptilidium,NA,PTISP,NA,PTISP,Plantae,Marchantiophyta,Jungermanniopsida,Ptilidiales,Ptilidiaceae,Ptilidium
Ptilidium ciliare,Ptilidium ciliare,Ptilidium ciliare,ciliare,PTICIL,NA,PTICIL,Plantae,Marchantiophyta,Jungermanniopsida,Ptilidiales,Ptilidiaceae,Ptilidium
Ptilidium crista-castrensis,Ptilidium crista-castrensis,Ptilidium crista-castrensis,crista-castrensis,PTICC,NA,PTICC,Plantae,Marchantiophyta,Jungermanniopsida,Ptilidiales,Ptilidiaceae,Ptilidium
Ptilidium pulcherrimum,Ptilidium pulcherrimum,Ptilidium pulcherrimum,pulcherrimum,PITPUL,Mis-spelled?,PTIPUL,Plantae,Marchantiophyta,Jungermanniopsida,Ptilidiales,Ptilidiaceae,Ptilidium
Ptilidium pulcherrimum,Ptilidium pulcherrimum,Ptilidium pulcherrimum,pulcherrimum,PTIPUL,NA,PTIPUL,Plantae,Marchantiophyta,Jungermanniopsida,Ptilidiales,Ptilidiaceae,Ptilidium
Pylaisiella polyantha,Pylaisiella polyantha,Pylaisia polyantha,polyantha,PYLPOL,NA,PYLPOL,Plantae,Bryophyta,Bryopsida,Hypnales,Pylaisiaceae,Pylaisia
Rhytidiadelphus triquetrus,Rhytidiadelphus triquetrus,Rhytidiadelphus triquetrus,triquetrus,RHYTRI,NA,RHYTRI,Plantae,Bryophyta,Bryopsida,Hypnales,Hylocomiaceae,Rhytidiadelphus
Drepanocladus revolvens,Drepanocladus revolvens,Scorpidium revolvens,revolvens,DREREV,NA,SCOREV,Plantae,Bryophyta,Bryopsida,Hypnales,Calliergonaceae,Scorpidium
Sphagnum angustifolium,Sphagnum angustifolium,Sphagnum angustifolium,angustifolium,SPHANG,NA,SPHANG,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum
Sphagnum fuscum,Sphagnum fuscum,Sphagnum fuscum,fuscum,SPHFUS,NA,SPHFUS,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum
Sphagnum nemoreum,Sphagnum nemoreum,Sphagnum nemoreum,nemoreum,SPHMEM,Mis-spelled?,SPHNEM,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum
Sphagnum nemoreum,Sphagnum nemoreum,Sphagnum nemoreum,nemoreum,SPHNEM,NA,SPHNEM,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum
Sphagnum russowii,Sphagnum russowii,Sphagnum russowii,russowii,SPHRUS,NA,SPHRUS,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum
Sphagnum warnstorfii,Sphagnum warnstorfii,Sphagnum warnstorfii,warnstorfii,SPHWAR,NA,SPHWAR,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum
Stereocaulon alpinum,Stereocaulon alpinum,Stereocaulon alpinum,alpinum,STEALP,NA,STEALP,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Stereocaulaceae,Stereocaulon
Thuidium recognitum,Thuidium recognitum,Thuidium recognitum,recognitum,THUREC,NA,THUREC,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Thuidium
Tomentypnum falcifolium,Tomentypnum falcifolium,Tomentypnum falcifolium,falcifolium,TOMFAL,NA,TOMFAL,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Tomentypnum
Tomentypnum nitens,Tomentypnum nitens,Tomentypnum nitens,nitens,TOMNIT,NA,TOMNIT,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Tomentypnum
Cetraria pinastri,Cetraria pinastri,Vulpicida pinastri,pinastri,CETPIN,NA,VULPIN,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Vulpicida
